"author_userName","author_createdAt","obfuscated_userName","author_profile_bio_description","author_location","author_followers","author_following","author_isBlueVerified"
"_djchacha","2009-10-17 04:31:36+00:00","@502848624539866","Radio Host on 105.9 TRUE FM, Full time MOM, Part-time Cyclist, Lecheng Pag-ibig To Podcast Host📱Inquiries (0917) 156 8101","",632394,907,False
"AaronSiriSG","2021-10-07 23:30:38+00:00","@658699990916413","Managing partner of national law firm Siri & Glimstad (https://t.co/jHpHHZlJ2G), 100+professionals. Civil rights, informed consent, class actions, and high stakes disputes.","United States",254004,126,True
"ABCWorldNews","2009-10-29 19:21:20+00:00","@599802651359167","The official Twitter account for @ABC's World News Tonight with @DavidMuir.","New York",1739833,430,True
"ABSCBNNews","2008-08-16 10:09:33+00:00","@403780272519270","Stories, video, and multimedia for Filipinos worldwide, from ABS-CBN News and Current Affairs","Manila, Philippines",9858462,1089,True
"ABSCBNpr","2012-05-29 10:45:08+00:00","@34859533045326","The official X account of ABS-CBN PR, managed by ABS-CBN Integrated Corporate Communications Division.","Quezon City, Philippines",231440,469,False
"ADCVanguard_","2016-03-22 12:27:19+00:00","@123531034617310","Official account of the ADC coalition mobilization wing.","Federal Capital Territory, Nig",187660,1589,True
"adobomochi","2020-06-06 00:05:22+00:00","@432073544717603","24 :D 🤓👍🏼٩(^ᗜ^ )و🇵🇭","Melbourne, Victoria",292143,376,True
"AFP","2011-09-27 00:35:10+00:00","@456793039343990","Top news and features from AFP's reporters around the world. 
Official account.","Around The World",2449341,639,True
"AfUncensored","2016-02-08 05:24:19+00:00","@178917239356788","Africa Uncensored is an independent media house set up by Kenya’s finest investigative journalists.
Investigate. Expose. Empower.","Nairobi, Kenya",110447,296,True
"aidelacruz","2010-03-12 18:33:37+00:00","@679553878100402","TV / Event Host. Singer-songwriter. Former MYX VJ, ANC News Anchor, PBA Courtside Reporter. UP Diliman graduate. Iglesia Ni Cristo. aidelacruzofficial@gmail.com","facebook.com/aidelacruzonline",71004,1324,False
"AJEnglish","2007-04-17 08:23:08+00:00","@448326948465689","Your story. Your platform. For breaking news alerts, follow @AJENews. Join us on Telegram for real-time updates: https://t.co/xl7ggSArvE","Doha, Qatar",9214261,251,True
"akazukinchan2x","2015-09-12 02:48:22+00:00","@347280075511207","figuring life post-PhD | my tweets here don't reflect the views of my employer, duhhhhh","Abbott Elementary",55639,421,False
"alvinelchico","2010-03-13 08:12:19+00:00","@467161425997003","","National Capital Region, Repub",105795,196,False
"ANCALERTS","2009-06-04 21:26:24+00:00","@208287835608527","News updates and breaking news from the Philippines. Like our Facebook page: https://t.co/74AowFhQ8O.","Philippines",4951409,744,True
"angatbuhay_ph","2022-06-27 03:00:21+00:00","@92022159408745","Take a sneak peek into the journey in addressing the needs of the families in the farthest and poorest communities of the Philippines.","",203112,8,False
"AskPerplexity","2025-01-22 22:46:09+00:00","@712192195397021","Not your father's search engine. Answering all of your questions on X: 1️⃣ Ask a question | 2️⃣ Tag me at the end | 3️⃣ Get answers.","WhatsApp & Telegram",375277,69,True
"ateneodemanilau","2009-06-11 06:36:04+00:00","@575306104619656","Filipino, Catholic, Jesuit. Making a difference since 1859, ad majorem Dei gloriam.","Metro Manila, Philippines",149606,175,False
"attyharryroque","2009-06-07 10:45:33+00:00","@328126839578840","Lawyer, Law Professor, Former Presidential Spokesman, Former Member of the House of Representatives, Brother, Husband, Father","Manila",90534,754,False
"AttyMatula","2020-12-30 09:57:15+00:00","@730798648352396","Sa Senado 2025;FFW President; N1 Chair;Reserve Army Major; former Presidential Anti-graft ExecDir; Lawyer; MCLE/Law Lecturer; MLQU-Law 97; MSU 87.","Agusan del Sur/Biñan, Laguna",63255,20099,True
"Awk20000","2024-01-01 20:19:03+00:00","@168899386626155","TMZ for streamers","",97817,410,True
"bamaquino","2009-09-16 04:29:25+00:00","@951392445303700","Senator of the Republic of the Philippines. Principal Sponsor and Co-Author of Free College Law in the Philippines. 🇵🇭","Philippines",337698,433,True
"BangkokPostNews","2009-02-11 11:24:01+00:00","@17555991012628","The world's window on Thailand: Get the latest essential local, business and lifestyle news related to Thailand and worldwide.","Thailand",235623,258,False
"BangkoSentral","2010-08-17 02:07:36+00:00","@768795647400867","The official Twitter account of the central bank of the Philippines
#BSP #BangkoSentral","Manila, Philippines",74958,445,False
"barrygutierrez3","2010-10-26 05:37:30+00:00","@33643637499439","Former Congressman, UP Law Professor, Chief Strategist at Kairos Consulting, lawyer, gamer, geek, and generally K :) person","Philippines",127684,159,False
"BbMaharlika","2015-11-09 05:30:15+00:00","@942501146785377","I'm not afraid to speak my mind, even if it upsets you.
YouTube channel 👉https://t.co/ciLllmcrnX","United States",52915,570,True
"BelannF","2020-04-10 21:28:12+00:00","@94720315155223","-Love God-Family-Country -Followed by@MarioNawfal -John Rich-Gunther Eagleman-Juanita Brodderick -Roger Stone-Gen Michael Flynn-Scott Presler-Andy Ngo","",129459,19351,True
"BGYO_Gelo","2014-09-28 07:55:26+00:00","@985775483547501","Pre-save our EP, Headlines, here! 🔗https://t.co/eBhTBDwHwZ","",72400,317,True
"biancadeveraa","2011-05-21 15:32:20+00:00","@929659596442140","Proverbs 3:3-14 ♡","Mnl",96443,220,False
"BiniAiahOFC","2020-09-13 04:25:02+00:00","@241318729482250","Aiahphrodites— we are the first and official fanbase for BINI’s Aiah Arceta | 📧 biniaiahofc@gmail.com | @hiraiahmerch @aiahdvocacy_ph 🩵","EST. 2020 | @TEAMBLOOMPH",142273,143,True
"BiniMikhaOFC","2020-09-22 07:28:32+00:00","@435353991459706","#MIKHALITES: The Pioneer Fanbase of Mikha Lim | binimikhaofc1108@gmail.com","2020 🦊",136643,93,True
"BiniStaceyOFC","2020-09-13 14:02:22+00:00","@660027235822182","STARS ✨ • Official FANBASE Account for @bini_stacey of BINI • 📧: binistaceyofficial13@gmail.com • Transparency report https://t.co/Hn0RFhTbfv","Republic of the Philippines",77332,105,True
"bluejayshop","2021-01-03 11:51:47+00:00","@230436218991064","DTI & BIR REGISTERED | EST. 2021 // all official, direct from 🇰🇷 dm for collab or promotion — for proofs, updates, & feedbacks check @bjshop_updates","Bulacan, Central Luzon",118128,64,True
"BreakFreeTeej","2017-11-04 14:21:04+00:00","@136156853760025","DM for collab 👀","Makati City, National Capital ",244774,289,False
"BrillantsOFC","2014-02-01 08:01:59+00:00","@663946272182569","The official twitter account of Andrea Brillantes’ official fandom: BRILLANTS New Era 🤍 💛 ✨ Handled by Andrea's admins. Links ⬇️","",65855,92,False
"business","2009-04-23 20:05:17+00:00","@858758656616399","The first word in business news. Singapore newsletter: https://t.co/RtyaUOdLdF Newsletters: https://t.co/nWaCxHSKuU Podcasts: https://t.co/096e9xMbPz","New York and the World",9806049,104,True
"bworldph","2009-07-03 00:57:35+00:00","@263046335723381","The Philippines' leading and most trusted source of business news","Philippines",72067,693,False
"byxbuzz","2011-12-23 17:50:24+00:00","@3514533212266","Asian entertainment, fandoms, pop culture, technology, & lifestyle blog by @byxspeaks #Byxbuzz

💌Email: thisisbyx.speaks@gmail.com","Asia",54317,2590,True
"candypangilinan","2009-11-14 07:41:06+00:00","@838688301049142","Gods warrior, Mother, Actress, Lover of Life, Host, Stand up comedienne, Acting coach","Earth",281444,359,False
"cebudailynews","2009-06-18 07:57:36+00:00","@89467949717779","The official X account of Cebu's only independent digital news portal.","Cebu City, Central Visayas",379048,591,True
"channelstv","2010-03-22 14:29:10+00:00","@841787257628003","Channels Television is the 16-time winner of the 'Best TV station in Nigeria award' and the most-awarded television station in Africa.","Nigeria",7418880,191,True
"ChelDiokno","2011-05-03 16:57:57+00:00","@313045157065984","Akbayan Partylist Representative","",768854,129,False
"ChildrensHD","2016-10-01 00:43:51+00:00","@193530926553893","We will end childhood health epidemics by eliminating toxic exposures, restoring and protecting children's health, seeking justice + establishing safeguards.","United States",307566,1797,True
"ConvergeSupport","2012-10-25 05:22:13+00:00","@624951567696290","Welcome to the official customer support account of Converge! We're here to help you #ExperienceBetter. For news and updates, follow @ExperienceCNVRG.","Pasig City",115419,69,True
"dawende","2009-09-29 04:51:17+00:00","@544435089225274","A man’s reach should exceed his grasp. An ex-govt. fellow","Manila, Philippines",134627,744,True
